date,stock price
"Feb 21, 2017",136.23
"Feb 22, 2017",136.43
"Feb 23, 2017",137.38
"Feb 24, 2017",135.91
"Feb 27, 2017",137.14
"Feb 28, 2017",137.08
"Mar 01, 2017",137.89
"Mar 02, 2017",140.0
"Mar 03, 2017",138.78
"Mar 06, 2017",139.37
"Mar 07, 2017",139.06
"Mar 08, 2017",138.95
"Mar 09, 2017",138.74
"Mar 10, 2017",139.25
"Mar 13, 2017",138.85
"Mar 14, 2017",139.3
"Mar 15, 2017",139.41
"Mar 16, 2017",140.72
"Mar 17, 2017",141.0
"Mar 20, 2017",140.4
"Mar 21, 2017",142.11
"Mar 22, 2017",139.85
"Mar 23, 2017",141.26
"Mar 24, 2017",141.5
"Mar 27, 2017",139.39
"Mar 28, 2017",140.91
"Mar 29, 2017",143.68
"Mar 30, 2017",144.19
"Mar 31, 2017",143.72
"Apr 03, 2017",143.71
"Apr 04, 2017",143.25
"Apr 05, 2017",144.22
"Apr 06, 2017",144.29
"Apr 07, 2017",143.73
"Apr 10, 2017",143.6
"Apr 11, 2017",142.94
"Apr 12, 2017",141.6
"Apr 13, 2017",141.91
"Apr 17, 2017",141.48
"Apr 18, 2017",141.41
"Apr 19, 2017",141.88
"Apr 20, 2017",141.22
"Apr 21, 2017",142.44
"Apr 24, 2017",143.5
"Apr 25, 2017",143.91
"Apr 26, 2017",144.47
"Apr 27, 2017",143.92
"Apr 28, 2017",144.09
"May 01, 2017",145.1
"May 02, 2017",147.54
"May 03, 2017",145.59
"May 04, 2017",146.52
"May 05, 2017",146.76
"May 08, 2017",149.03
"May 09, 2017",153.87
"May 10, 2017",153.63
"May 11, 2017",152.45
"May 12, 2017",154.7
"May 15, 2017",156.01
"May 16, 2017",155.94
"May 17, 2017",153.6
"May 18, 2017",151.27
"May 19, 2017",153.38
"May 22, 2017",154.0
"May 23, 2017",154.9
"May 24, 2017",153.84
"May 25, 2017",153.73
"May 26, 2017",154.0
"May 30, 2017",153.42
"May 31, 2017",153.97
"Jun 01, 2017",153.17
"Jun 02, 2017",153.58
"Jun 05, 2017",154.34
"Jun 06, 2017",153.9
"Jun 07, 2017",155.02
"Jun 08, 2017",155.25
"Jun 09, 2017",155.19
"Jun 12, 2017",145.74
"Jun 13, 2017",147.16
"Jun 14, 2017",147.5
"Jun 15, 2017",143.32
"Jun 16, 2017",143.78
"Jun 19, 2017",143.66
"Jun 20, 2017",146.87
"Jun 21, 2017",145.52
"Jun 22, 2017",145.77
"Jun 23, 2017",145.13
"Jun 26, 2017",147.17
"Jun 27, 2017",145.01
"Jun 28, 2017",144.49
"Jun 29, 2017",144.71
"Jun 30, 2017",144.45
"Jul 03, 2017",144.88
"Jul 05, 2017",143.69
"Jul 06, 2017",143.02
"Jul 07, 2017",142.9
"Jul 10, 2017",144.11
"Jul 11, 2017",144.73
"Jul 12, 2017",145.87
